meta_pmid,study_pmid,status,final_status,
36436737,25996424,YES,YES,
36436737,25987597,NO,NO,
36436737,25944965,YES,YES,
36436737,25929599,YES,YES,
36436737,25911123,YES,YES,
36436737,25893437,NO,NO,
36436737,25885446,NO,NO,
36436737,25848050,YES,NO,
36436737,25820129,YES,NO,
36436737,25729358,YES,YES,
36436737,25716010,YES,YES,
36436737,25697049,YES,YES,
36436737,25640962,YES,YES,
36436737,25571093,NO,NO,
36436737,27642220,YES,NO,
36436737,25534111,YES,YES,
36436737,25489093,YES,NO,
36436737,25338630,YES,NO,
36436737,25315788,YES,YES,
36436737,25298009,NO,YES,
36436737,25281889,YES,YES,
36436737,25253279,YES,NO,
36436737,25244113,YES,NO,
36436737,25220190,YES,NO,
36436737,25118071,YES,YES,
36436737,25088911,YES,YES,
36436737,25042446,YES,YES,
36436737,24936688,YES,YES,
36436737,24880954,YES,NO,
36436737,24842782,YES,YES,
36436737,24834034,YES,YES,
36436737,24825504,YES,YES,
36436737,24824165,YES,YES,
36436737,24814646,YES,YES,
36436737,24795436,NO,NO,
36436737,24772075,NO,YES,
36436737,24726338,YES,YES,
36436737,24700584,YES,YES,
36436737,24652858,YES,YES,
36436737,24639542,YES,YES,
36436737,24633532,YES,YES,
36436737,24583253,YES,YES,
36436737,24493846,NO,NO,
36436737,24478377,NO,NO,
36436737,24462962,YES,YES,
36436737,24414614,YES,YES,
36436737,24412433,NO,NO,
36436737,24294906,YES,YES,
36436737,24294841,YES,YES,
36436737,24265613,YES,NO,
36436737,24243619,YES,YES,
36436737,24144548,YES,NO,
36436737,24106333,YES,NO,
36436737,24089495,YES,NO,
36436737,24084068,YES,YES,
36436737,24068815,YES,YES,
36436737,24051621,YES,YES,
36436737,23988759,NO,YES,
36436737,23917500,NO,NO,
36436737,23911672,YES,NO,
36436737,23887810,YES,YES,
36436737,23887806,YES,NO,
36436737,23850465,NO,NO,
36436737,23813661,YES,YES,
36436737,23770622,YES,NO,
36436737,23740868,YES,YES,
36436737,23722983,YES,YES,
36436737,23720575,YES,YES,
36436737,23696200,YES,YES,
36436737,23684882,YES,YES,
36436737,23667619,YES,YES,
36436737,23620602,YES,YES,
36436737,23599165,YES,YES,
36436737,23574585,YES,YES,
36436737,23528247,YES,NO,
36436737,23508477,NO,YES,
36436737,23482624,YES,YES,
36436737,23460073,YES,YES,
36436737,23378834,YES,YES,
36436737,23327932,YES,YES,
36436737,23298748,YES,YES,
36436737,23267322,YES,NO,
36436737,23251653,YES,NO,
36436737,23249349,NO,YES,
36436737,23221019,NO,YES,
36436737,23110882,YES,NO,
36436737,23063451,YES,YES,
36436737,22956840,YES,YES,
36436737,22905026,YES,NO,
36436737,22848759,YES,YES,
36436737,22841755,YES,YES,
36436737,22726841,YES,YES,
36436737,22661409,YES,YES,
36436737,22623534,YES,NO,
36436737,22563005,NO,YES,
36436737,22507699,NO,NO,
36436737,22507230,YES,NO,
36436737,22490923,YES,NO,
36436737,22403154,YES,NO,
36436737,22349798,YES,YES,
36436737,22308468,NO,NO,
36436737,22290781,YES,NO,
36436737,22174872,YES,YES,
36436737,24391534,YES,NO,
36436737,22019860,YES,YES,
36436737,22003388,YES,NO,
36436737,21981758,YES,NO,
36436737,21955370,YES,YES,
36436737,21940454,YES,YES,
36436737,21908447,YES,YES,
36436737,21908447,NO,NO,
36436737,21862446,YES,YES,
36436737,21849560,YES,YES,
36436737,21775952,NO,NO,
36436737,21703352,NO,YES,
36436737,30018264,YES,NO,
36436737,21606658,YES,YES,
36436737,21600991,YES,YES,
36436737,26302673,YES,NO,???
36436737,21320516,YES,YES,
36436737,21249224,YES,YES,
36436737,21172325,YES,NO,
36436737,20943931,YES,NO,
36436737,20705602,YES,YES,
36436737,20534459,YES,YES,
36436737,20439736,YES,NO,
36436737,20350171,YES,YES,
36436737,20350167,NO,NO,
36436737,20188190,YES,YES,
36436737,20188182,YES,YES,
36436737,20096792,YES,YES,
36436737,20071521,YES,YES,
36436737,20056152,YES,YES,
36436737,20045478,YES,YES,
36436737,19944083,YES,YES,
36436737,19733672,YES,YES,
36436737,20401807,NO,NO,
36436737,19439183,YES,YES,
36436737,19384602,YES,NO,
36436737,19347874,YES,YES,
36436737,19304843,YES,YES,
36436737,19199419,YES,NO,
36436737,34409940,YES,NO,???
36436737,19048432,YES,YES,
36436737,18633834,YES,YES,
36436737,18633846,YES,YES,
36436737,19015088,NO,YES,
36436737,18985119,YES,YES,
36436737,18985118,YES,YES,
36436737,18633856,YES,YES,
36436737,18633845,YES,NO,
36436737,18633788,YES,YES,
36436737,18603608,NO,YES,
36436737,18585742,YES,YES,
36436737,18537114,YES,YES,
36436737,18514546,YES,YES,
36436737,18501639,YES,YES,
36436737,18486491,NO,YES,
36436737,18439411,YES,YES,
36436737,18431500,YES,NO,
36436737,18370602,YES,YES,
36436737,18234518,YES,NO,
36436737,17986835,YES,YES,
36436737,17964185,NO,YES,
36436737,17627852,YES,YES,
36436737,17536964,YES,NO,
36436737,17404215,YES,YES,
36436737,17100784,YES,NO,
36436737,17071110,YES,YES,
36436737,17055981,YES,NO,
36436737,16759672,YES,YES,
36436737,16406606,YES,YES,
36436737,16171833,YES,YES,
36436737,16122944,YES,YES,
36436737,16055351,YES,YES,
36436737,16035037,YES,YES,
36436737,15862225,YES,NO,
36436737,15701234,YES,YES,
36436737,15528097,YES,YES,
36436737,15488424,YES,YES,
36436737,15327630,YES,NO,
36436737,15006683,YES,YES,
36436737,14980212,YES,YES,
36436737,11850635,YES,YES,
36436737,11496124,YES,YES,
36436737,10943684,YES,NO,
36436737,28008075,YES,YES,
36436737,26143208,YES,YES,
36436737,24760733,YES,NO,
36436737,24666131,YES,YES,
36436737,24582805,YES,YES,
36436737,24447026,YES,NO,
36436737,24412687,YES,NO,
36436737,24097375,YES,YES,
36436737,23948645,YES,NO,
36436737,23876243,YES,YES,
36436737,23435496,NO,YES,
36436737,22371086,YES,NO,
36436737,22360624,YES,YES,
36436737,24550800,YES,NO,???
36436737,21761508,YES,NO,
36436737,10607399,YES,YES,
36436737,11352615,YES,YES,???
36436737,12202103,NO,NO,
36436737,14568477,YES,YES,
36436737,15808992,YES,YES,
36436737,17408704,YES,YES,
36436737,18586108,NO,NO,
36436737,18783371,YES,YES,
36436737,19107754,NO,YES,
36436737,19136216,YES,YES,
36436737,19596021,YES,NO,
36436737,19630891,NO,NO,
36436737,20098696,YES,NO,
36436737,20119878,YES,YES,
36436737,27716474,YES,YES,
36436737,40773391,NO,NO,
36436737,21206532,YES,YES,
36436737,20977559,NO,NO,
36436737,20923708,NO,NO,
36436737,20460301,YES,NO,
36436737,18486489,YES,NO,
36436737,31849730,NO,NO,
36436737,31844272,YES,NO,
36436737,31843053,NO,NO,
36436737,31798816,YES,NO,
36436737,31783116,YES,YES,
36436737,31747689,YES,NO,
36436737,31729396,YES,NO,
36436737,31690846,YES,NO,
36436737,31680906,YES,NO,
36436737,31639270,NO,NO,
36436737,31598216,YES,YES,
36436737,31589003,YES,NO,
36436737,30624029,YES,NO,
36436737,31420884,YES,NO,
36436737,31379539,YES,NO,
36436737,31322784,YES,NO,
36436737,31268615,YES,NO,
36436737,31170400,NO,NO,
36436737,31157395,YES,NO,
36436737,31142792,YES,YES,
36436737,31100434,NO,NO,
36436737,31090126,YES,YES,
36436737,31063817,YES,NO,
36436737,31056647,YES,YES,
36436737,31051206,YES,NO,
36436737,31036762,YES,NO,
36436737,31028924,NO,NO,
36436737,31028922,YES,NO,
36436737,31011853,YES,NO,
36436737,30976115,YES,NO,
36436737,30949039,YES,NO,
36436737,30930310,YES,YES,
36436737,30852995,YES,YES,
36436737,30852994,YES,NO,
36436737,30842248,YES,NO,
36436737,30834300,YES,NO,
36436737,38043839,YES,NO,
36436737,30825583,YES,NO,
36436737,30807820,NO,NO,
36436737,30794869,YES,NO,
36436737,30698656,YES,NO,
36436737,30679738,NO,NO,
36436737,30658938,YES,NO,
36436737,30649548,NO,YES,
36436737,30639342,YES,NO,
36436737,30639176,YES,NO,
36436737,30624029,YES,NO,
36436737,30610911,NO,NO,
36436737,30594068,YES,NO,
36436737,30500423,YES,NO,
36436737,30455187,YES,NO,
36436737,30414457,NO,NO,
36436737,38867029,NO,NO,
36436737,30389840,YES,NO,
36436737,30300745,YES,NO,
36436737,30272134,YES,YES,
36436737,30221467,NO,NO,
36436737,30195053,NO,NO,
36436737,30077577,YES,YES,
36436737,30056560,YES,YES,
36436737,30038232,NO,NO,
36436737,29959970,YES,NO,
36436737,29931116,YES,NO,
36436737,29896995,YES,NO,
36436737,28966083,NO,NO,
36436737,27340019,NO,NO,
36436737,31740271,NO,NO,
36436737,31849730,NO,NO,
36436737,31844272,NO,NO,
36436737,31747689,NO,NO,
36436737,31740271,NO,NO,
36436737,31729396,NO,NO,
36436737,31690846,NO,NO,
36436737,31639270,NO,NO,
36436737,31598216,NO,NO,
36436737,31589003,NO,NO,
36436737,31506672,NO,NO,
36436737,31420884,NO,NO,
36436737,31379539,NO,NO,
36436737,31322784,NO,NO,
36436737,31268615,NO,NO,
36436737,31170400,NO,NO,
36436737,31157395,NO,NO,
36436737,31142792,NO,NO,
36436737,31100434,NO,NO,
36436737,31056647,NO,NO,
36436737,31051206,NO,NO,
36436737,31036762,NO,NO,
36436737,31028924,NO,NO,
36436737,31028922,NO,NO,
36436737,31011853,NO,NO,
36436737,30949039,NO,NO,
36436737,30852995,NO,NO,
36436737,30852994,NO,NO,
36436737,30842248,NO,NO,
36436737,30834300,NO,NO,
36436737,30833582,NO,NO,
36436737,30825583,NO,NO,
36436737,30807820,NO,NO,
36436737,30794869,NO,NO,
36436737,30679738,NO,NO,
36436737,30658938,NO,YES,
36436737,30649548,NO,NO,
36436737,30639342,NO,NO,
36436737,30624029,NO,NO,
36436737,30610911,NO,NO,
36436737,30500423,NO,NO,
36436737,30411904,NO,NO,
36436737,30389840,NO,NO,
36436737,30300745,NO,NO,
36436737,30221467,NO,NO,
36436737,30195053,NO,NO,
36436737,30056560,NO,NO,
36436737,30038232,NO,NO,
36436737,29959970,NO,NO,
36436737,29931116,NO,NO,
36436737,27340019,NO,NO,
36436737,30041864,NO,NO,
36436737,30017395,NO,NO,
36436737,29561702,NO,NO,
36436737,29366950,NO,NO,
36436737,29352154,NO,NO,
36436737,28522533,NO,NO,
36436737,28094810,NO,NO,
36436737,27866893,NO,NO,
36436737,27521302,NO,NO,
36436737,26946502,NO,NO,
36436737,26934715,NO,NO,
36436737,26759479,NO,NO,
36436737,26348613,NO,NO,
36436737,25512496,NO,NO,
36436737,25289182,NO,NO,
36436737,24607363,NO,NO,
36436737,24381271,NO,NO,
36436737,24036130,NO,NO,
36436737,23142071,NO,NO,
36436737,20695655,NO,NO,
36436737,18375769,NO,NO,
36436737,17499173,NO,NO,
36436737,27815729,NO,NO,
36436737,25499683,NO,NO,
36436737,24341069,NO,NO,
36436737,29845003,NO,NO,
36436737,29455864,NO,NO,
36436737,29396415,NO,NO,
36436737,28748572,NO,NO,
36436737,28465434,NO,NO,
36436737,28393755,NO,NO,
36436737,28169323,NO,NO,
36436737,27506384,NO,NO,
36436737,27272314,NO,NO,
36436737,27247125,NO,NO,
36436737,27185915,NO,NO,
36436737,27170266,NO,NO,
36436737,27150109,NO,NO,
36436737,27091676,NO,NO,
36436737,26892856,NO,NO,
36436737,26483621,NO,NO,
36436737,29885085,NO,NO,
36436737,26200892,NO,NO,
36436737,26188122,NO,NO,
36436737,25770039,NO,NO,
36436737,25759285,NO,NO,
36436737,25758671,NO,NO,
36436737,23149446,NO,NO,
36436737,22982277,NO,NO,
36436737,22909094,NO,NO,
36436737,29943174,NO,NO,
36436737,29518712,NO,NO,
36436737,22439896,NO,NO,
36436737,22434810,NO,NO,
36436737,22257745,NO,NO,
36436737,22038344,NO,NO,
36436737,21812564,NO,NO,
36436737,21723130,NO,NO,
36436737,21278194,NO,NO,
36436737,21164174,NO,NO,
36436737,21036192,NO,NO,
36436737,19739909,NO,NO,
36436737,19630890,NO,NO,
36436737,19048446,NO,NO,
36436737,18573266,NO,NO,
36436737,18082427,NO,NO,
36436737,16023041,NO,NO,
36436737,15668098,NO,NO,
36436737,29901788,NO,NO,
36436737,29891257,NO,NO,
36436737,23804962,NO,NO,
36436737,23639347,NO,NO,
36436737,22563008,NO,NO,
36436737,21664277,,YES,
36436737,21569855,,YES,
36436737,22125232,,YES,
36436737,29077925,,YES,
36436737,21864459,,YES,
36436737,19199417,,YES,
36436737,20350187,,YES,
36436737,18313858,,YES,
<<<<<<< Updated upstream
<<<<<<< Updated upstream
35664889,30704514,,,
35664889,31535269,,,
35664889,31555409,,,
35664889,15937303,,,
35664889,40055834,,,
35664889,31391394,,,
35664889,24167442,,,
35664889,37823470,,,
35664889,28373956,,,
35664889,15215218,,,
35664889,26889604,,,
35664889,17350290,,,
35664889,24533506,,,
35664889,38265470,,,
35664889,31914227,,,
35664889,26594631,,,
35664889,28601570,,,
35664889,15536300,,,
35664889,21849646,,,
35664889,32289706,,,
35664889,26653846,,,
35664889,14697007,,,
35664889,30788410,,,
35664889,38826096,,,
35664889,41499339,,,
35664889,26284764,,,
35664889,41556545,,,
35664889,30094168,,,
35664889,26432341,,,
35664889,40026013,,,
35664889,17574708,,,
35664889,27630558,,,
35664889,24740987,,,
35664889,20150729,,,
35664889,21195775,,,
35664889,24005336,,,
35664889,32144991,,,
35664889,40785170,,,
35664889,33563798,,,
35664889,41149828,,,
35664889,41675224,,,
35664889,41282675,,,
35664889,26401773,,,
35664889,28374078,,,
35664889,26810632,,,
35664889,31914230,,,
35664889,23572495,,,
35664889,29088311,,,
35664889,31824254,,,
35664889,36993574,,,
35664889,31860018,,,
35664889,17898350,,,
35664889,30672142,,,
35664889,19747928,,,
35664889,18436612,,,
35664889,19433738,,,
35664889,16406154,,,
35664889,21822699,,,
35664889,22399793,,,
35664889,28811257,,,
35664889,25929717,,,
35664889,38742046,,,
35664889,40990841,,,
35664889,20053378,,,
35664889,26585059,,,
35664889,41065198,,,
35664889,21881831,,,
35664889,41675432,,,
35664889,28701492,,,
35664889,28882319,,,
35664889,17909155,,,
35664889,19470967,,,
35664889,25683866,,,
35664889,30930736,,,
35664889,18593276,,,
35664889,41571385,,,
35664889,40400344,,,
35664889,40260680,,,
35664889,23806681,,,
35664889,21084313,,,
35664889,32183776,,,
35664889,21237621,,,
35664889,25144223,,,
35664889,25628962,,,
35664889,30847466,,,
35664889,26515192,,,
35664889,39924821,,,
35664889,40810361,,,
35664889,30762136,,,
35664889,31011326,,,
35664889,21908872,,,
35664889,30707358,,,
35664889,39387948,,,
35664889,39990273,,,
35664889,26674655,,,
35664889,27104896,,,
35664889,39079070,,,
35664889,40677151,,,
35664889,28460069,,,
35664889,28416618,,,
35664889,24040338,,,
35664889,22795494,,,
35664889,19416953,,,
35664889,32116647,,,
35664889,10417247,,,
35664889,26923025,,,
35664889,22573634,,,
35664889,20503113,,,
35664889,27255821,,,
35664889,32198310,,,
35664889,41284585,,,
35664889,41628396,,,
35664889,31887311,,,
35664889,31944489,,,
35664889,16237363,,,
35664889,28906375,,,
35664889,31105553,,,
35664889,30906945,,,
35664889,19346314,,,
35664889,30638083,,,
35664889,19150504,,,
35664889,25461707,,,
35664889,28413716,,,
35664889,28413716,,,
35664889,16448722,,,
35664889,16359874,,,
35664889,28209520,,,
35664889,26583316,,,
35664889,41282725,,,
35664889,31119452,,,
35664889,20083207,,,
35664889,41412141,,,
35664889,26338813,,,
35664889,19501175,,,
35664889,19308367,,,
35664889,27372646,,,
35664889,24700485,,,
35664889,41047640,,,
35664889,11939938,,,
35664889,27752510,,,
35664889,29614640,,,
35664889,11982486,,,
35664889,30109402,,,
35664889,41554669,,,
35664889,27498041,,,
35664889,32989107,,,
35664889,35453034,,,
35664889,27104138,,,
35664889,19770055,,,
35664889,31011951,,,
35664889,22990433,,,
35664889,15025046,,,
35664889,23794681,,,
35664889,23874403,,,
35664889,31960098,,,
35664889,23805313,,,
35664889,18093623,,,
35664889,23455991,,,
35664889,27012504,,,
35664889,38374256,,,
35664889,41254983,,,
35664889,22044532,,,
35664889,23457466,,,
35664889,26932257,,,
35664889,27429218,,,
35664889,29228211,,,
35664889,18166607,,,
35664889,21029744,,,
35664889,20045477,,,
35664889,40502594,,,
35664889,41277710,,,
35664889,21172844,,,
35664889,27354513,,,
35664889,30569187,,,
35664889,27066561,,,
35664889,21233181,,,
35664889,26024845,,,
35664889,34266598,,,
35664889,26377252,,,
35664889,31182509,,,
35664889,41343108,,,
35664889,29915557,,,
35664889,35189395,,,
35664889,26251109,,,
35664889,20493673,,,
35664889,22184615,,,
35664889,40756022,,,
35664889,30859283,,,
35664889,34719771,,,
35664889,27298765,,,
35664889,26503957,,,
35664889,41678253,,,
35664889,38192155,,,
35664889,18492729,,,
35664889,10940680,,,
35664889,40773016,,,
35664889,22674572,,,
35664889,19674446,,,
35664889,19946779,,,
35664889,22502999,,,
35664889,23677732,,,
35664889,31989779,,,
35664889,23306064,,,
35664889,31064266,,,
35664889,21502595,,,
35664889,39766833,,,
35664889,27484312,,,
35664889,40618089,,,
35664889,10940679,,,
35664889,41245435,,,
35664889,19702415,,,
35664889,32180125,,,
35664889,41646781,,,
35664889,27436017,,,
35664889,41271684,,,
35664889,41571385,,,
35664889,27510944,,,
35664889,41614679,,,
35664889,41277710,,,
35664889,36163388,,,
35664889,34853179,,,
35664889,30646429,,,
35664889,41366786,,,
35664889,20404309,,,
35664889,27684890,,,
35664889,29948344,,,
35664889,38147792,,,
35664889,20071459,,,
35664889,41225656,,,
35664889,22414571,,,
35664889,10862805,,,
35664889,31525130,,,
35664889,25973788,,,
35664889,41664541,,,
35664889,41343108,,,
35664889,26473985,,,
35664889,24179759,,,
35664889,31046591,,,
35664889,25890642,,,
35664889,29394332,,,
35664889,20728544,,,
35664889,26001387,,,
35664889,17532012,,,
35664889,41109234,,,
35664889,25596865,,,
35664889,31844711,,,
35664889,38062485,,,
35664889,18474436,,,
35664889,41608854,,,
35664889,10364643,,,
35664889,16914245,,,
35664889,25373846,,,
35664889,23542864,,,
35664889,21760989,,,
35664889,26594624,,,
35664889,26401709,,,
35664889,41677946,,,
35664889,19031322,,,
35664889,31308118,,,
35664889,31439620,,,
35664889,30941090,,,
35664889,32039841,,,
35664889,41234527,,,
35664889,40534487,,,
35664889,34216263,,,
35664889,23006986,,,
35664889,41282725,,,
35664889,37010841,,,
35664889,41282725,,,
35664889,27104906,,,
35664889,26836150,,,
35664889,12821731,,,
35664889,39580607,,,
35664889,22986775,,,
35664889,41315482,,,
35664889,41192580,,,
35664889,41592266,,,
35664889,21908872,,,
35664889,17479980,,,
35664889,35491275,,,
35664889,41366786,,,
35664889,30760643,,,
35664889,23208308,,,
35664889,16763044,,,
35664889,11792404,,,
35664889,41677246,,,
35664889,23107380,,,
35664889,26721391,,,
35664889,40398513,,,
35664889,24179781,,,
35664889,29299378,,,
35664889,25322925,,,
35664889,28733335,,,
35664889,11827872,,,
35664889,26583316,,,
35664889,28705819,,,
35664889,22036676,,,
35664889,22976075,,,
35664889,25821176,,,
35664889,26936938,,,
35664889,35032179,,,
35664889,25188321,,,
35664889,31881858,,,
35664889,29131982,,,
35664889,27986990,,,
35664889,28616383,,,
35664889,31478721,,,
35664889,41578347,,,
35664889,41032666,,,
35664889,28337409,,,
35664889,26912642,,,
35664889,19540253,,,
35664889,26442751,,,
35664889,41149828,,,
35664889,29213767,,,
35664889,18984957,,,
35664889,27258418,,,
35664889,33333361,,,
35664889,28633865,,,
35664889,41646781,,,
35664889,24179826,,,
35664889,24179835,,,
35664889,24683513,,,
35664889,24685626,,,
35664889,39938002,,,
35664889,19158440,,,
35664889,25199154,,,
35664889,25221525,,,
35664889,26667277,,,
35664889,36570531,,,
35664889,41676499,,,
35664889,41604947,,,
35664889,41673623,,,
35664889,28064175,,,
35664889,37694825,,,
35664889,22366795,,,
35664889,32179883,,,
35664889,26343341,,,
35664889,26646114,,,
35664889,31693851,,,
35664889,36964594,,,
35664889,29542053,,,
35664889,31498507,,,
35664889,21792308,,,
35664889,37201288,,,
35664889,26463677,,,
35664889,31551779,,,
35664889,26852326,,,
35664889,15728305,,,
35664889,41065198,,,
35664889,38062485,,,
35664889,41634195,,,
35664889,41677578,,,
35664889,41068257,,,
35664889,40131525,,,
35664889,40673371,,,
35664889,29053860,,,
35664889,40666348,,,
35664889,41543764,,,
35664889,41634195,,,
35664889,22366793,,,
35664889,27401520,,,
35664889,21596458,,,
35664889,29554554,,,
35664889,41366786,,,
35664889,29057638,,,
35664889,30712283,,,
35664889,40543321,,,
35664889,30878181,,,
35664889,29075567,,,
35664889,19497964,,,
35664889,31798526,,,
35664889,21618662,,,
35664889,29086152,,,
35664889,26560730,,,
35664889,17988893,,,
35664889,11723259,,,
35664889,31388560,,,
35664889,24516415,,,
35664889,40986290,,,
35664889,20182057,,,
35664889,20938177,,,
35664889,15084791,,,
35664889,31041612,,,
35664889,24150110,,,
35664889,19892022,,,
35664889,21958648,,,
35664889,29107846,,,
35664889,30317048,,,
35664889,41383521,,,
35664889,40810361,,,
35664889,39568670,,,
35664889,24523434,,,
35664889,26513651,,,
35664889,22345371,,,
35664889,25140560,,,
35664889,22491196,,,
35664889,41472887,,,
35664889,26836150,,,
35664889,31205123,,,
35664889,24951639,,,
35664889,17976961,,,
35664889,21237621,,,
35664889,15025054,,,
35664889,30827922,,,
35664889,29328983,,,
35664889,23158228,,,
35664889,21304142,,,
35664889,19153155,,,
35664889,17381257,,,
35664889,30529631,,,
35664889,26075893,,,
35664889,22869921,,,
35664889,41183134,,,
35664889,27222795,,,
35664889,23285078,,,
35664889,21385617,,,
35664889,40502594,,,
35664889,31735167,,,
35664889,24926307,,,
35664889,29213586,,,
35664889,19236162,,,
35664889,28474365,,,
35664889,28785992,,,
35664889,18177439,,,
35664889,38940350,,,
35664889,33704477,,,
35664889,32180125,,,
35664889,20299441,,,
35664889,21059987,,,
35664889,31696638,,,
35664889,26509115,,,
35664889,24576796,,,
35664889,34366351,,,
35664889,28458182,,,
35664889,26141491,,,
35664889,23801975,,,
35664889,31428914,,,
35664889,31111329,,,
35664889,16317254,,,
35664889,26519438,,,
35664889,22835330,,,
35664889,30716457,,,
35664889,24577455,,,
35664889,41594199,,,
35664889,30703627,,,
35664889,31636026,,,
35664889,22009019,,,
35664889,28116236,,,
35664889,23838694,,,
35664889,26146826,,,
35664889,34697009,,,
35664889,29950844,,,
35664889,21385617,,,
35664889,18065436,,,
35664889,38327846,,,
35664889,31447625,,,
35664889,26738361,,,
35664889,26025914,,,
35664889,21195775,,,
35664889,25926068,,,
35664889,41677639,,,
35664889,31918955,,,
35664889,37900607,,,
35664889,41633365,,,
35664889,25264347,,,
35664889,17968544,,,
35664889,16875340,,,
35664889,29159053,,,
35664889,41127961,,,
35664889,21149812,,,
35664889,16477583,,,
35664889,22008265,,,
35664889,31493687,,,
35664889,17240166,,,
35664889,31578297,,,
35664889,23125121,,,
35664889,16157748,,,
35664889,38924786,,,
35664889,15847116,,,
35664889,21215762,,,
35664889,40995692,,,
35664889,10727696,,,
35664889,23541799,,,
35664889,35348856,,,
35664889,22284815,,,
35664889,17615169,,,
35664889,41677639,,,
35664889,23857888,,,
35664889,26606247,,,
35664889,34628194,,,
35664889,37834094,,,
35664889,25539040,,,
35664889,26236629,,,
35664889,37062017,,,
35664889,25273996,,,
35664889,18268196,,,
35664889,26673947,,,
35664889,19164761,,,
35664889,23576128,,,
35664889,24278277,,,
35664889,25518957,,,
35664889,29394332,,,
35664889,25511791,,,
35664889,25009480,,,
35664889,25797589,,,
35664889,29704671,,,
35664889,28662418,,,
35664889,26401935,,,
35664889,23805313,,,
35664889,26810632,,,
35664889,26501846,,,
35664889,31461580,,,
35664889,31497638,,,
35664889,30488224,,,
35664889,31873787,,,
35664889,31887311,,,
35664889,23582296,,,
35664889,23670951,,,
35664889,25396740,,,
35664889,27252632,,,
35664889,26682697,,,
35664889,27258418,,,
35664889,21785117,,,
35664889,30014499,,,
35664889,24523434,,,
35664889,30718430,,,
35664889,25913063,,,
